"(5,5)",5,1.737
"(0,0)",6,5.851
"(0,1)",6,0.0
"(0,2)",6,5.341
"(0,3)",6,4.265
"(0,4)",6,4.149
"(0,5)",6,5.304
"(1,0)",6,4.265
"(1,1)",6,1.82
"(1,2)",6,4.02
"(1,3)",6,4.902
"(1,4)",6,0.0
"(1,5)",6,2.952
"(2,0)",6,2.885
"(2,1)",6,1.663
"(2,2)",6,1.903
"(2,3)",6,3.744
"(2,4)",6,4.857
"(2,5)",6,3.906
"(3,0)",6,1.659
"(3,1)",6,0.778
"(3,2)",6,0.955
"(3,3)",6,1.739
"(3,4)",6,3.712
"(3,5)",6,4.819
"(4,0)",6,0.702
"(4,1)",6,0.0
"(4,2)",6,0.0
"(4,3)",6,0.0
"(4,4)",6,1.722
"(4,5)",6,3.564
"(5,0)",6,0.047
"(5,1)",6,-0.234
"(5,2)",6,0.033
"(5,3)",6,0.655
"(5,4)",6,1.516
"(5,5)",6,2.449
"(0,0)",7,6.793
"(0,1)",7,0.0
"(0,2)",7,6.181
"(0,3)",7,5.098
"(0,4)",7,4.982
"(0,5)",7,6.136
"(1,0)",7,5.197
"(1,1)",7,2.723
"(1,2)",7,4.856
"(1,3)",7,5.675
"(1,4)",7,0.0
"(1,5)",7,3.785
"(2,0)",7,3.788
"(2,1)",7,2.502
"(2,2)",7,2.719
"(2,3)",7,4.511
"(2,4)",7,5.604
"(2,5)",7,4.644
"(3,0)",7,2.486
"(3,1)",7,1.536
"(3,2)",7,1.716
"(3,3)",7,2.483
"(3,4)",7,4.456
"(3,5)",7,5.556
"(4,0)",7,1.413
"(4,1)",7,0.0
"(4,2)",7,0.0
"(4,3)",7,0.0
"(4,4)",7,2.463
"(4,5)",7,4.3
"(5,0)",7,0.498
"(5,1)",7,-0.048
"(5,2)",7,0.485
"(5,3)",7,1.29
"(5,4)",7,2.22
"(5,5)",7,3.175
"(0,0)",8,7.725
"(0,1)",8,0.0
"(0,2)",8,7.012
"(0,3)",8,5.922
"(0,4)",8,5.806
"(0,5)",8,6.961
"(1,0)",8,6.124
"(1,1)",8,3.633
"(1,2)",8,5.687
"(1,3)",8,6.446
"(1,4)",8,0.0
"(1,5)",8,4.609
"(2,0)",8,4.699
"(2,1)",8,3.382
"(2,2)",8,3.54
"(2,3)",8,5.279
"(2,4)",8,6.345
"(2,5)",8,5.375
"(3,0)",8,3.358
"(3,1)",8,2.358
"(3,2)",8,2.511
"(3,3)",8,3.222
"(3,4)",8,5.195
"(3,5)",8,6.286
"(4,0)",8,2.209
"(4,1)",8,0.0
"(4,2)",8,0.0
"(4,3)",8,0.0
"(4,4)",8,3.199
"(4,5)",8,5.03
"(5,0)",8,1.123
"(5,1)",8,0.344
"(5,2)",8,1.078
"(5,3)",8,1.974
"(5,4)",8,2.938
"(5,5)",8,3.9
"(0,0)",9,8.648
"(0,1)",9,0.0
"(0,2)",9,7.834
"(0,3)",9,6.738
"(0,4)",9,6.622
"(0,5)",9,7.777
"(1,0)",9,7.044
"(1,1)",9,4.545
"(1,2)",9,6.511
"(1,3)",9,7.214
"(1,4)",9,0.0
"(1,5)",9,5.425
"(2,0)",9,5.61
"(2,1)",9,4.274
"(2,2)",9,4.361
"(2,3)",9,6.044
"(2,4)",9,7.08
"(2,5)",9,6.099
"(3,0)",9,4.247
"(3,1)",9,3.219
"(3,2)",9,3.316
"(3,3)",9,3.956
"(3,4)",9,5.927
"(3,5)",9,7.009
"(4,0)",9,3.057
"(4,1)",9,0.0
"(4,2)",9,0.0
"(4,3)",9,0.0
"(4,4)",9,3.929
"(4,5)",9,5.753
"(5,0)",9,1.855
"(5,1)",9,0.918
"(5,2)",9,1.737
"(5,3)",9,2.678
"(5,4)",9,3.656
"(5,5)",9,4.621
"(0,0)",10,9.561
"(0,1)",10,0.0
"(0,2)",10,8.647
"(0,3)",10,7.546
"(0,4)",10,7.43
"(0,5)",10,8.585
"(1,0)",10,7.956
"(1,1)",10,5.452
"(1,2)",10,7.329
"(1,3)",10,7.979
"(1,4)",10,0.0
"(1,5)",10,6.233
"(2,0)",10,6.518
"(2,1)",10,5.172
"(2,2)",10,5.179
"(2,3)",10,6.806
"(2,4)",10,7.809
"(2,5)",10,6.815
"(3,0)",10,5.142
"(3,1)",10,4.094
"(3,2)",10,4.125
"(3,3)",10,4.702
"(3,4)",10,6.653
"(3,5)",10,7.724
"(4,0)",10,3.929
"(4,1)",10,0.0
"(4,2)",10,0.0
"(4,3)",10,0.0
"(4,4)",10,4.652
"(4,5)",10,6.469
"(5,0)",10,2.656
"(5,1)",10,1.611
"(5,2)",10,2.425
"(5,3)",10,3.386
"(5,4)",10,4.37
"(5,5)",10,5.336
"(0,0)",11,10.466
"(0,1)",11,0.0
"(0,2)",11,9.452
"(0,3)",11,8.346
"(0,4)",11,8.23
"(0,5)",11,9.385
"(1,0)",11,8.86
"(1,1)",11,6.353
"(1,2)",11,8.138
"(1,3)",11,8.74
"(1,4)",11,0.0
"(1,5)",11,7.033
"(2,0)",11,7.419
"(2,1)",11,6.067
"(2,2)",11,5.99
"(2,3)",11,7.565
"(2,4)",11,8.534
"(2,5)",11,7.527
"(3,0)",11,6.036
"(3,1)",11,4.974
"(3,2)",11,4.932
"(3,3)",11,5.458
"(3,4)",11,7.375
"(3,5)",11,8.433
"(4,0)",11,4.811
"(4,1)",11,0.0
"(4,2)",11,0.0
"(4,3)",11,0.0
"(4,4)",11,5.37
"(4,5)",11,7.179
"(5,0)",11,3.494
"(5,1)",11,2.382
"(5,2)",11,3.122
"(5,3)",11,4.092
"(5,4)",11,5.079
"(5,5)",11,6.045
"(0,0)",12,11.361
"(0,1)",12,0.0
"(0,2)",12,10.248
"(0,3)",12,9.137
"(0,4)",12,9.022
"(0,5)",12,10.176
"(1,0)",12,9.755
"(1,1)",12,7.247
"(1,2)",12,8.94
"(1,3)",12,9.497
"(1,4)",12,0.0
"(1,5)",12,7.825
"(2,0)",12,8.312
"(2,1)",12,6.957
"(2,2)",12,6.795
"(2,3)",12,8.32
"(2,4)",12,9.253
"(2,5)",12,8.25
"(3,0)",12,6.926
"(3,1)",12,5.851
"(3,2)",12,5.737
"(3,3)",12,6.21
"(3,4)",12,8.094
"(3,5)",12,9.135
"(4,0)",12,5.693
"(4,1)",12,0.0
"(4,2)",12,0.0
"(4,3)",12,0.0
"(4,4)",12,6.084
"(4,5)",12,7.881
"(5,0)",12,4.352
"(5,1)",12,3.199
"(5,2)",12,3.819
"(5,3)",12,4.793
"(5,4)",12,5.782
"(5,5)",12,6.747
"(0,0)",13,12.247
"(0,1)",13,0.0
"(0,2)",13,11.035
"(0,3)",13,9.921
"(0,4)",13,9.806
"(0,5)",13,10.96
"(1,0)",13,10.641
"(1,1)",13,8.132
"(1,2)",13,9.734
"(1,3)",13,10.25
"(1,4)",13,0.0
"(1,5)",13,8.609
"(2,0)",13,9.198
"(2,1)",13,7.84
"(2,2)",13,7.593
"(2,3)",13,9.071
"(2,4)",13,9.969
"(2,5)",13,8.967
"(3,0)",13,7.808
"(3,1)",13,6.723
"(3,2)",13,6.536
"(3,3)",13,6.959
"(3,4)",13,8.807
"(3,5)",13,9.831
"(4,0)",13,6.572
"(4,1)",13,0.0
"(4,2)",13,0.0
"(4,3)",13,0.0
"(4,4)",13,6.793
"(4,5)",13,8.577
"(5,0)",13,5.217
"(5,1)",13,4.04
"(5,2)",13,4.512
"(5,3)",13,5.488
"(5,4)",13,6.478
"(5,5)",13,7.442
"(0,0)",14,13.125
"(0,1)",14,0.0
"(0,2)",14,11.815
"(0,3)",14,10.697
"(0,4)",14,10.582
"(0,5)",14,11.736
"(1,0)",14,11.518
"(1,1)",14,9.009
"(1,2)",14,10.52
"(1,3)",14,10.998
"(1,4)",14,0.0
"(1,5)",14,9.385
"(2,0)",14,10.074
"(2,1)",14,8.715
"(2,2)",14,8.383
"(2,3)",14,9.817
"(2,4)",14,10.681
"(2,5)",14,9.681
"(3,0)",14,8.683
"(3,1)",14,7.589
"(3,2)",14,7.328
"(3,3)",14,7.703
"(3,4)",14,9.517
"(3,5)",14,10.523
"(4,0)",14,7.445
"(4,1)",14,0.0
"(4,2)",14,0.0
"(4,3)",14,0.0
"(4,4)",14,7.497
"(4,5)",14,9.268
"(5,0)",14,6.082
"(5,1)",14,4.892
"(5,2)",14,5.2
"(5,3)",14,6.177
"(5,4)",14,7.168
"(5,5)",14,8.131
"(0,0)",15,13.994
"(0,1)",15,0.0
"(0,2)",15,12.586
"(0,3)",15,11.465
"(0,4)",15,11.351
"(0,5)",15,12.505
"(1,0)",15,12.387
"(1,1)",15,9.877
"(1,2)",15,11.298
"(1,3)",15,11.742
"(1,4)",15,0.0
"(1,5)",15,10.154
"(2,0)",15,10.943
"(2,1)",15,9.582
"(2,2)",15,9.166
"(2,3)",15,10.558
"(2,4)",15,11.39
"(2,5)",15,10.39
"(3,0)",15,9.55
"(3,1)",15,8.451
"(3,2)",15,8.114
"(3,3)",15,8.443
"(3,4)",15,10.224
"(3,5)",15,11.21
"(4,0)",15,8.311
"(4,1)",15,0.0
"(4,2)",15,0.0
"(4,3)",15,0.0
"(4,4)",15,8.197
"(4,5)",15,9.954
"(5,0)",15,6.943
"(5,1)",15,5.745
"(5,2)",15,5.882
"(5,3)",15,6.86
"(5,4)",15,7.852
"(5,5)",15,8.815
"(0,0)",16,14.854
"(0,1)",16,0.0
"(0,2)",16,13.349
"(0,3)",16,12.225
"(0,4)",16,12.111
"(0,5)",16,13.265
"(1,0)",16,13.247
"(1,1)",16,10.737
"(1,2)",16,12.068
"(1,3)",16,12.48
"(1,4)",16,0.0
"(1,5)",16,10.914
"(2,0)",16,11.803
"(2,1)",16,10.441
"(2,2)",16,9.942
"(2,3)",16,11.294
"(2,4)",16,12.094
"(2,5)",16,11.096
"(3,0)",16,10.409
"(3,1)",16,9.309
"(3,2)",16,8.892
"(3,3)",16,9.177
"(3,4)",16,10.926
"(3,5)",16,11.893
"(4,0)",16,9.169
"(4,1)",16,0.0
"(4,2)",16,0.0
"(4,3)",16,0.0
"(4,4)",16,8.894
"(4,5)",16,10.636
"(5,0)",16,7.799
"(5,1)",16,6.596
"(5,2)",16,6.558
"(5,3)",16,7.537
"(5,4)",16,8.53
"(5,5)",16,9.494
"(0,0)",17,15.705
"(0,1)",17,0.0
"(0,2)",17,14.104
"(0,3)",17,12.978
"(0,4)",17,12.864
"(0,5)",17,14.019
"(1,0)",17,14.099
"(1,1)",17,11.588
"(1,2)",17,12.831
"(1,3)",17,13.212
"(1,4)",17,0.0
"(1,5)",17,11.667
"(2,0)",17,12.654
"(2,1)",17,11.292
"(2,2)",17,10.71
"(2,3)",17,12.025
"(2,4)",17,12.795
"(2,5)",17,11.797
"(3,0)",17,11.26
"(3,1)",17,10.159
"(3,2)",17,9.664
"(3,3)",17,9.907
"(3,4)",17,11.625
"(3,5)",17,12.57
"(4,0)",17,10.019
"(4,1)",17,0.0
"(4,2)",17,0.0
"(4,3)",17,0.0
"(4,4)",17,9.587
"(4,5)",17,11.313
"(5,0)",17,8.647
"(5,1)",17,7.443
"(5,2)",17,7.228
