"(3,2)",5,LEFT,93.133
"(3,3)",5,LEFT,90.982
"(3,4)",5,UP,91.692
"(3,5)",5,LEFT,91.62
"(4,0)",5,UP,94.213
"(4,1)",5,UP,0.0
"(4,2)",5,UP,0.0
"(4,3)",5,UP,0.0
"(4,4)",5,UP,89.412
"(4,5)",5,UP,90.315
"(5,0)",5,UP,92.838
"(5,1)",5,LEFT,91.629
"(5,2)",5,LEFT,90.435
"(5,3)",5,LEFT,89.257
"(5,4)",5,LEFT,88.238
"(5,5)",5,UP,89.039
"(0,0)",6,UP,99.9
"(0,1)",6,LEFT,0.0
"(0,2)",6,LEFT,94.946
"(0,3)",6,LEFT,93.775
"(0,4)",6,LEFT,92.555
"(0,5)",6,UP,93.229
"(1,0)",6,UP,98.294
"(1,1)",6,LEFT,95.783
"(1,2)",6,LEFT,94.445
"(1,3)",6,LEFT,94.298
"(1,4)",6,RIGHT,0.0
"(1,5)",6,UP,90.818
"(2,0)",6,UP,96.849
"(2,1)",6,LEFT,95.487
"(2,2)",6,LEFT,93.195
"(2,3)",6,UP,93.076
"(2,4)",6,LEFT,93.003
"(2,5)",6,LEFT,91.695
"(3,0)",6,UP,95.454
"(3,1)",6,LEFT,94.353
"(3,2)",6,LEFT,93.133
"(3,3)",6,UP,91.015
"(3,4)",6,UP,91.715
"(3,5)",6,UP,91.788
"(4,0)",6,UP,94.213
"(4,1)",6,UP,0.0
"(4,2)",6,UP,0.0
"(4,3)",6,UP,0.0
"(4,4)",6,UP,89.449
"(4,5)",6,UP,90.467
"(5,0)",6,UP,92.838
"(5,1)",6,LEFT,91.629
"(5,2)",6,LEFT,90.435
"(5,3)",6,LEFT,89.257
"(5,4)",6,UP,88.469
"(5,5)",6,UP,89.198
